"geoid","hh_county","total_treated","total_stores","treated_percentage"
"01001","AUTAUGA",0,12,0
"01003","BALDWIN",1,52,1.92
"01005","BARBOUR",0,8,0
"01007","BIBB",2,9,22.22
"01009","BLOUNT",1,15,6.67
"01011","BULLOCK",0,3,0
"01013","BUTLER",0,6,0
"01015","CALHOUN",1,40,2.5
"01017","CHAMBERS",0,9,0
"01019","CHEROKEE",0,9,0
"01021","CHILTON",0,7,0
"01023","CHOCTAW",0,4,0
"01025","CLARKE",0,8,0
"01027","CLAY",0,3,0
"01029","CLEBURNE",0,4,0
"01031","COFFEE",1,10,10
"01033","COLBERT",0,15,0
"01035","CONECUH",0,5,0
"01037","COOSA",0,2,0
"01039","COVINGTON",1,11,9.09
"01041","CRENSHAW",0,3,0
"01043","CULLMAN",0,23,0
"01045","DALE",0,10,0
"01047","DALLAS",0,11,0
"01049","DEKALB",0,15,0
"01051","ELMORE",1,21,4.76
"01053","ESCAMBIA",0,15,0
"01055","ETOWAH",0,30,0
"01057","FAYETTE",0,4,0
"01059","FRANKLIN",0,15,0
"01061","GENEVA",0,11,0
"01063","GREENE",0,2,0
"01065","HALE",0,2,0
"01067","HENRY",0,8,0
"01069","HOUSTON",0,33,0
"01071","JACKSON",0,14,0
"01073","JEFFERSON",3,207,1.45
"01075","LAMAR",0,4,0
"01077","LAUDERDALE",0,28,0
"01079","LAWRENCE",0,6,0
"01081","LEE",1,35,2.86
"01083","LIMESTONE",0,14,0
"01085","LOWNDES",0,1,0
"01087","MACON",0,6,0
"01089","MADISON",3,100,3
"01091","MARENGO",0,5,0
"01093","MARION",0,7,0
"01095","MARSHALL",0,25,0
"01097","MOBILE",4,123,3.25
"01099","MONROE",0,8,0
"01101","MONTGOMERY",1,71,1.41
"01103","MORGAN",0,24,0
"01105","PERRY",0,2,0
"01107","PICKENS",0,7,0
"01109","PIKE",0,13,0
"01111","RANDOLPH",0,5,0
"01113","RUSSELL",0,14,0
"01115","ST. CLAIR",0,14,0
"01117","SHELBY",1,51,1.96
"01119","SUMTER",0,3,0
"01121","TALLADEGA",0,28,0
"01123","TALLAPOOSA",0,12,0
"01125","TUSCALOOSA",0,52,0
"01127","WALKER",0,17,0
"01129","WASHINGTON",0,2,0
"01131","WILCOX",0,4,0
"01133","WINSTON",0,9,0
"04001","APACHE",0,13,0
"04003","COCHISE",1,22,4.55
"04005","COCONINO",0,23,0
"04007","GILA",0,9,0
"04009","GRAHAM",0,6,0
"04012","LA PAZ",0,5,0
"04013","MARICOPA",6,819,0.73
"04015","MOHAVE",0,39,0
"04017","NAVAJO",0,16,0
"04019","PIMA",1,207,0.48
"04021","PINAL",0,54,0
"04023","SANTA CRUZ",0,6,0
"04025","YAVAPAI",0,48,0
"04027","YUMA",0,30,0
"05001","ARKANSAS",1,5,20
"05003","ASHLEY",0,6,0
